DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol
6/26/2017,1.21E-05,1.30E-05,1.03E-05,1.13E-05,243611828.6,2817.36,XLM
6/25/2017,1.29E-05,1.38E-05,1.06E-05,1.21E-05,387270152.6,4671.84,XLM
6/24/2017,1.44E-05,1.45E-05,1.18E-05,1.29E-05,311258774.2,4161.43,XLM
6/23/2017,1.49E-05,1.50E-05,1.43E-05,1.44E-05,85620735.71,1251.82,XLM
6/22/2017,1.48E-05,1.50E-05,1.43E-05,1.49E-05,97545218.71,1440.78,XLM
6/21/2017,1.46E-05,1.50E-05,1.44E-05,1.48E-05,111977905.8,1643.51,XLM
6/20/2017,1.53E-05,1.55E-05,1.44E-05,1.46E-05,139814823.2,2087.91,XLM
6/19/2017,1.60E-05,1.72E-05,1.46E-05,1.53E-05,405154304,6539.31,XLM
6/18/2017,1.52E-05,1.65E-05,1.51E-05,1.60E-05,185301533.3,2871.14,XLM
6/17/2017,1.52E-05,1.53E-05,1.50E-05,1.52E-05,114177799,1729.64,XLM
6/16/2017,1.50E-05,1.56E-05,1.46E-05,1.52E-05,146387712.8,2215.76,XLM
6/15/2017,1.52E-05,1.54E-05,1.46E-05,1.50E-05,136314622.1,2052.81,XLM
6/14/2017,1.60E-05,1.63E-05,1.45E-05,1.52E-05,199369203.2,3029.75,XLM
6/13/2017,1.53E-05,1.66E-05,1.51E-05,1.60E-05,287386405.1,4531.2,XLM
6/12/2017,1.49E-05,1.60E-05,1.46E-05,1.53E-05,239896013.2,3651.64,XLM
6/11/2017,1.54E-05,1.60E-05,1.45E-05,1.49E-05,210658142.1,3175.02,XLM
6/10/2017,1.47E-05,1.61E-05,1.41E-05,1.54E-05,286429589.9,4328.05,XLM
6/9/2017,1.67E-05,1.69E-05,1.44E-05,1.47E-05,316243904,4897.26,XLM
6/8/2017,1.79E-05,1.85E-05,1.60E-05,1.67E-05,392136581.7,6835.86,XLM
6/7/2017,1.76E-05,2.07E-05,1.73E-05,1.79E-05,881322366.7,16824.65,XLM
6/6/2017,1.57E-05,1.96E-05,1.55E-05,1.76E-05,803877432.6,14084.1,XLM
6/5/2017,1.54E-05,1.59E-05,1.38E-05,1.57E-05,377017434.2,5619.54,XLM
6/4/2017,1.58E-05,1.69E-05,1.53E-05,1.54E-05,159154176.3,2543.5,XLM
6/3/2017,1.54E-05,1.61E-05,1.49E-05,1.58E-05,35134868.52,543.09,XLM
6/2/2017,1.63E-05,1.67E-05,1.45E-05,1.54E-05,283467214.9,4401.09,XLM
6/1/2017,1.79E-05,1.82E-05,1.60E-05,1.63E-05,312332486.2,5260.41,XLM
5/31/2017,1.51E-05,1.86E-05,1.49E-05,1.79E-05,824547628.4,14117.7,XLM
5/30/2017,1.41E-05,1.55E-05,1.35E-05,1.51E-05,479011226.7,6952.86,XLM
5/29/2017,1.63E-05,1.67E-05,1.41E-05,1.41E-05,332876991,5201.9,XLM
5/28/2017,1.65E-05,1.73E-05,1.58E-05,1.63E-05,272356678.3,4509.83,XLM
5/27/2017,1.62E-05,1.86E-05,1.50E-05,1.65E-05,445775560.9,7563.15,XLM
5/26/2017,1.83E-05,1.92E-05,1.25E-05,1.62E-05,754108446,11647.64,XLM
5/25/2017,1.74E-05,2.19E-05,1.71E-05,1.83E-05,598191701.6,11761.61,XLM
5/24/2017,2.10E-05,2.11E-05,1.54E-05,1.74E-05,752135982.4,13299.57,XLM
5/23/2017,2.44E-05,2.55E-05,1.92E-05,2.10E-05,450867393.1,10274.23,XLM
5/22/2017,2.39E-05,2.65E-05,2.29E-05,2.44E-05,367825147.6,9153.39,XLM
5/21/2017,3.07E-05,3.26E-05,2.07E-05,2.39E-05,750717719.8,19502.41,XLM
5/20/2017,2.63E-05,3.47E-05,2.60E-05,3.07E-05,868531077.8,26037.35,XLM
5/19/2017,2.52E-05,2.80E-05,2.49E-05,2.63E-05,400607974.3,10579.33,XLM
5/18/2017,2.43E-05,2.88E-05,2.29E-05,2.52E-05,689966117.9,17772.26,XLM
5/17/2017,2.67E-05,2.68E-05,2.18E-05,2.43E-05,520124363.1,12778.34,XLM
5/16/2017,2.82E-05,3.12E-05,1.86E-05,2.67E-05,947634527.4,25304.53,XLM
5/15/2017,2.51E-05,3.01E-05,2.48E-05,2.82E-05,1428161966,39557.38,XLM
5/14/2017,2.16E-05,2.59E-05,2.09E-05,2.51E-05,859475019.1,20309.73,XLM
5/13/2017,2.11E-05,2.33E-05,2.01E-05,2.16E-05,469229443.7,10203.52,XLM
5/12/2017,2.38E-05,2.48E-05,1.47E-05,2.11E-05,686528587.1,15271.58,XLM
5/11/2017,2.02E-05,2.60E-05,2.00E-05,2.38E-05,1615518259,37322.32,XLM
5/10/2017,1.77E-05,2.43E-05,1.50E-05,2.02E-05,1763014382,33810.18,XLM
