DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol
2015-03-30,2.5e-06,0.000102,7.2e-07,1.63e-06,24089049.61,39.04,XEM
2015-03-31,1.63e-06,1.87e-06,7e-07,1.1e-06,88200443.73,103.08,XEM
2015-04-01,1.1e-06,1.3e-06,9.1e-07,1.27e-06,44514389.79,52.97,XEM
2015-04-02,1.27e-06,1.31e-06,1.17e-06,1.23e-06,19508242.14,24.29,XEM
2015-04-03,1.23e-06,1.25e-06,9.9e-07,1.09e-06,20445278.51,22.22,XEM
2015-04-04,1.09e-06,1.09e-06,8.4e-07,8.8e-07,38773079.45,36.47,XEM
2015-04-05,8.8e-07,1.16e-06,8.8e-07,1.14e-06,39779922.32,42.87,XEM
2015-04-06,1.14e-06,1.14e-06,9.2e-07,9.6e-07,17085376.45,17.24,XEM
2015-04-07,9.6e-07,1.02e-06,9.1e-07,9.4e-07,13984615.9,13.31,XEM
2015-04-08,9.4e-07,9.8e-07,8.8e-07,9.2e-07,13116219.43,12.05,XEM
2015-04-09,9.2e-07,9.4e-07,7.2e-07,8e-07,24676630.96,21.28,XEM
2015-04-10,8e-07,8.1e-07,6.3e-07,6.9e-07,31153667.71,22.43,XEM
2015-04-11,6.9e-07,7.3e-07,6.1e-07,6.2e-07,11407262.63,7.56,XEM
2015-04-12,6.2e-07,6.6e-07,5.2e-07,6.1e-07,21756184.44,13.26,XEM
2015-04-13,6.1e-07,8.3e-07,6.1e-07,7.1e-07,37399527.64,26.6,XEM
2015-04-14,7.1e-07,7.7e-07,6.6e-07,6.9e-07,11979457.16,8.57,XEM
2015-04-15,6.9e-07,7.5e-07,6.9e-07,7.2e-07,6171699.97,4.34,XEM
2015-04-16,7.2e-07,7.7e-07,7e-07,7.6e-07,7147624.53,5.27,XEM
2015-04-17,7.6e-07,7.6e-07,6.7e-07,6.8e-07,8851099.59,6.26,XEM
2015-04-18,6.8e-07,7.1e-07,6.1e-07,6.7e-07,10440941.66,6.82,XEM
2015-04-19,6.7e-07,6.7e-07,5.6e-07,5.9e-07,7330942.22,4.57,XEM
