DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol
2015-01-19,7.57e-05,7.900000000000001e-05,7.57e-05,7.809999999999999e-05,0.0,0.0,XRP
2015-01-20,7.809999999999999e-05,7.900000000000001e-05,7.509999999999998e-05,7.609999999999999e-05,0.0,0.0,XRP
2015-01-21,7.609999999999999e-05,7.609999999999999e-05,7.219999999999999e-05,7.390000000000001e-05,0.0,0.0,XRP
2015-01-22,7.390000000000001e-05,7.390000000000001e-05,7.01e-05,7.170000000000001e-05,0.0,0.0,XRP
2015-01-23,7.170000000000001e-05,7.26e-05,5.9e-05,6.77e-05,0.0,0.0,XRP
2015-01-24,6.77e-05,6.879999999999999e-05,6.440000000000001e-05,6.670000000000001e-05,0.0,0.0,XRP
2015-01-25,6.670000000000001e-05,6.670000000000001e-05,5.18e-05,5.88e-05,0.0,0.0,XRP
2015-01-26,5.88e-05,6.48e-05,5.8099999999999996e-05,5.9e-05,0.0,0.0,XRP
2015-01-27,5.9e-05,6.4e-05,5.88e-05,6.21e-05,0.0,0.0,XRP
2015-01-28,6.52e-05,6.57e-05,6.11e-05,6.11e-05,176484.0,11.27,XRP
2015-01-29,6.11e-05,6.32e-05,6.1e-05,6.31e-05,95405.06,5.9,XRP
2015-01-30,6.31e-05,6.55e-05,6.15e-05,6.38e-05,404349.83,25.56,XRP
2015-01-31,6.38e-05,6.6e-05,6.17e-05,6.17e-05,114481.43,7.5,XRP
2015-02-01,6.17e-05,6.2e-05,5.7499999999999995e-05,5.7499999999999995e-05,214445.67,12.82,XRP
2015-02-02,5.7499999999999995e-05,5.88e-05,5.39e-05,5.8099999999999996e-05,1994045.8,111.29,XRP
2015-02-03,5.8099999999999996e-05,6.25e-05,5.739999999999999e-05,5.96e-05,306217.63,18.23,XRP
2015-02-04,5.96e-05,7.049999999999999e-05,5.9e-05,7.03e-05,798706.53,52.49,XRP
2015-02-05,7.03e-05,7.5e-05,6.29e-05,6.440000000000001e-05,558495.42,38.24,XRP
2015-02-06,6.440000000000001e-05,6.63e-05,6.21e-05,6.47e-05,105834.49,6.79,XRP
2015-02-07,6.47e-05,6.620000000000001e-05,6.19e-05,6.45e-05,87359.43,5.68,XRP
2015-02-08,6.45e-05,6.45e-05,6.21e-05,6.28e-05,229806.17,14.46,XRP
2015-02-09,6.28e-05,6.37e-05,6.0599999999999996e-05,6.15e-05,214987.9,13.22,XRP
2015-02-10,6.15e-05,6.36e-05,6.05e-05,6.26e-05,286672.87,17.7,XRP
2015-02-11,6.26e-05,6.4e-05,6.21e-05,6.330000000000001e-05,171172.64,10.86,XRP
2015-02-12,6.330000000000001e-05,6.39e-05,6.15e-05,6.24e-05,125537.12,7.87,XRP
2015-02-13,6.24e-05,6.31e-05,5.67e-05,5.7600000000000004e-05,291903.85,17.38,XRP
2015-02-14,5.7600000000000004e-05,5.920000000000001e-05,5.42e-05,5.8399999999999997e-05,290360.26,16.36,XRP
2015-02-15,5.8399999999999997e-05,5.9999999999999995e-05,5.7100000000000006e-05,5.8299999999999994e-05,158468.11,9.23,XRP
2015-02-16,5.8299999999999994e-05,5.91e-05,5.67e-05,5.6999999999999996e-05,55840.18,3.22,XRP
2015-02-17,5.6999999999999996e-05,5.91e-05,5.65e-05,5.8299999999999994e-05,52223.52,3.04,XRP
2015-02-18,5.8299999999999994e-05,5.920000000000001e-05,5.67e-05,5.79e-05,62340.5,3.62,XRP
2015-02-19,5.79e-05,5.7799999999999995e-05,5.4000000000000005e-05,5.47e-05,135159.48,7.48,XRP
2015-02-20,5.47e-05,5.539999999999999e-05,5.379999999999999e-05,5.5100000000000004e-05,87593.13,4.79,XRP
2015-02-21,5.5100000000000004e-05,5.720000000000001e-05,5.42e-05,5.610000000000001e-05,102611.95,5.65,XRP
2015-02-22,5.610000000000001e-05,5.7499999999999995e-05,5.5e-05,5.68e-05,63858.45,3.61,XRP
2015-02-23,5.68e-05,5.6899999999999994e-05,5.3700000000000004e-05,5.47e-05,353383.9,19.39,XRP
2015-02-24,5.47e-05,5.629999999999999e-05,5.429999999999999e-05,5.539999999999999e-05,390692.75,21.54,XRP
2015-02-25,5.539999999999999e-05,5.7100000000000006e-05,5.379999999999999e-05,5.539999999999999e-05,5073872.6,277.32,XRP
2015-02-26,5.539999999999999e-05,5.59e-05,5.01e-05,5.17e-05,3777100.15,195.14,XRP
2015-02-27,5.17e-05,5.3e-05,4.9e-05,4.98e-05,2300043.57,115.45,XRP
2015-02-28,4.98e-05,5.1e-05,4.26e-05,4.57e-05,695502.43,33.53,XRP
2015-03-01,4.57e-05,4.77e-05,4.24e-05,4.24e-05,571894.64,25.78,XRP
2015-03-02,4.24e-05,4.33e-05,3.1e-05,3.17e-05,1570026.46,57.58,XRP
2015-03-03,3.17e-05,3.9e-05,2.99e-05,3.77e-05,1825524.96,65.41,XRP
2015-03-04,3.77e-05,4.52e-05,3.77e-05,4.07e-05,1125778.06,47.73,XRP
2015-03-05,4.07e-05,4.26e-05,3.570000000000001e-05,3.9e-05,615386.38,23.7,XRP
2015-03-06,3.9e-05,4.07e-05,3.6099999999999997e-05,3.76e-05,299219.4,11.5,XRP
2015-03-07,3.76e-05,3.81e-05,3.6e-05,3.73e-05,513348.07,18.8,XRP
2015-03-08,3.73e-05,3.98e-05,3.47e-05,3.5600000000000005e-05,640928.32,23.96,XRP
2015-03-09,3.5600000000000005e-05,3.6200000000000006e-05,3.34e-05,3.4e-05,510115.66,17.54,XRP
2015-03-10,3.4e-05,3.6099999999999997e-05,3.4e-05,3.52e-05,550474.98,19.13,XRP
2015-03-11,3.52e-05,3.6200000000000006e-05,3.37e-05,3.6e-05,645720.98,22.61,XRP
2015-03-12,3.6e-05,3.82e-05,3.4399999999999996e-05,3.570000000000001e-05,891362.89,31.78,XRP
2015-03-13,3.570000000000001e-05,4.1e-05,3.6e-05,3.96e-05,739911.61,28.8,XRP
2015-03-14,3.96e-05,4.05e-05,3.6700000000000004e-05,3.74e-05,337829.75,13.0,XRP
2015-03-15,3.74e-05,3.9200000000000004e-05,3.5600000000000005e-05,3.79e-05,379870.98,14.29,XRP
2015-03-16,3.79e-05,3.91e-05,3.3299999999999996e-05,3.78e-05,432507.11,16.13,XRP
2015-03-17,3.78e-05,4.0600000000000004e-05,3.75e-05,3.9399999999999995e-05,571147.22,22.37,XRP
2015-03-18,3.9399999999999995e-05,4.09e-05,3.74e-05,3.85e-05,973469.6,37.88,XRP
2015-03-19,3.85e-05,3.96e-05,3.77e-05,3.8299999999999996e-05,274866.2,10.64,XRP
2015-03-20,3.8299999999999996e-05,3.9899999999999994e-05,3.72e-05,3.78e-05,217525.53,8.38,XRP
2015-03-21,3.78e-05,3.82e-05,3.75e-05,3.77e-05,61346.8,2.32,XRP
2015-03-22,3.77e-05,3.77e-05,3.6200000000000006e-05,3.6200000000000006e-05,182034.67,6.73,XRP
2015-03-23,3.6200000000000006e-05,3.9e-05,3.5600000000000005e-05,3.77e-05,286012.56,10.59,XRP
2015-03-24,3.77e-05,3.8e-05,3.5e-05,3.570000000000001e-05,513351.07,18.68,XRP
2015-03-25,3.570000000000001e-05,3.63e-05,3.39e-05,3.46e-05,126215.19,4.42,XRP
2015-03-26,3.46e-05,3.54e-05,3.4399999999999996e-05,3.5100000000000006e-05,221994.4,7.76,XRP
2015-03-27,3.5100000000000006e-05,3.52e-05,3.4399999999999996e-05,3.4899999999999995e-05,377074.3,13.16,XRP
2015-03-28,3.4899999999999995e-05,3.52e-05,3.34e-05,3.41e-05,5527819.02,187.51,XRP
2015-03-29,3.41e-05,3.5e-05,3.24e-05,3.26e-05,4984902.95,166.86,XRP
2015-03-30,3.26e-05,3.34e-05,3.07e-05,3.12e-05,1318613.12,42.23,XRP
2015-03-31,3.12e-05,3.229999999999999e-05,3.07e-05,3.12e-05,316526.85,9.97,XRP
2015-04-01,3.12e-05,3.35e-05,3.1e-05,3.17e-05,434293.96,13.8,XRP
2015-04-02,3.17e-05,3.77e-05,3.13e-05,3.48e-05,1565343.9,54.59,XRP
2015-04-03,3.48e-05,3.5e-05,3.35e-05,3.39e-05,1156195.01,39.3,XRP
2015-04-04,3.39e-05,3.4899999999999995e-05,3.3e-05,3.32e-05,380746.7,12.9,XRP
2015-04-05,3.32e-05,3.5600000000000005e-05,3.3e-05,3.41e-05,526404.01,17.9,XRP
2015-04-06,3.41e-05,3.65e-05,3.41e-05,3.570000000000001e-05,194154.14,6.84,XRP
2015-04-07,3.570000000000001e-05,3.78e-05,3.53e-05,3.71e-05,174490.33,6.37,XRP
2015-04-08,3.71e-05,3.8e-05,3.24e-05,3.6e-05,254280.57,8.89,XRP
2015-04-09,3.6e-05,3.7e-05,3.4399999999999996e-05,3.6e-05,161597.46,5.82,XRP
2015-04-10,3.6e-05,3.63e-05,2.64e-05,3.4e-05,743128.44,24.45,XRP
2015-04-11,3.4e-05,3.52e-05,3.35e-05,3.4399999999999996e-05,51854.37,1.78,XRP
2015-04-12,3.4399999999999996e-05,3.54e-05,3.4e-05,3.54e-05,137495.65,4.81,XRP
2015-04-13,3.54e-05,3.59e-05,3.41e-05,3.48e-05,523196.22,18.27,XRP
2015-04-14,3.48e-05,3.5799999999999996e-05,3.3799999999999995e-05,3.48e-05,774161.49,26.6,XRP
2015-04-15,3.48e-05,3.54e-05,3.26e-05,3.45e-05,439956.1,15.12,XRP
2015-04-16,3.45e-05,3.570000000000001e-05,3.3100000000000005e-05,3.54e-05,103208.3,3.63,XRP
2015-04-17,3.54e-05,3.5799999999999996e-05,3.45e-05,3.52e-05,90548.09,3.19,XRP
2015-04-18,3.52e-05,3.52e-05,3.4399999999999996e-05,3.48e-05,141115.8,4.92,XRP
2015-04-19,3.48e-05,3.6e-05,3.45e-05,3.5e-05,134921.94,4.78,XRP
2015-04-20,3.5e-05,3.570000000000001e-05,3.4200000000000005e-05,3.45e-05,543303.6,18.95,XRP
2015-04-21,3.45e-05,3.5e-05,3.3799999999999995e-05,3.4e-05,203028.3,7.01,XRP
2015-04-22,3.4e-05,3.43e-05,3.35e-05,3.3600000000000004e-05,179173.14,6.1,XRP
2015-04-23,3.3600000000000004e-05,3.4399999999999996e-05,3.3299999999999996e-05,3.35e-05,75306.28,2.54,XRP
2015-04-24,3.35e-05,3.5e-05,3.35e-05,3.48e-05,256836.28,8.92,XRP
2015-04-25,3.48e-05,3.52e-05,3.43e-05,3.5100000000000006e-05,53025.96,1.85,XRP
2015-04-26,3.5100000000000006e-05,3.5e-05,3.3600000000000004e-05,3.41e-05,88649.78,3.06,XRP
2015-04-27,3.41e-05,3.46e-05,3.13e-05,3.37e-05,440455.05,14.71,XRP
2015-04-28,3.37e-05,3.63e-05,3.35e-05,3.5100000000000006e-05,1029377.33,36.24,XRP
2015-04-29,3.5100000000000006e-05,3.6e-05,3.41e-05,3.47e-05,708035.55,25.04,XRP
2015-04-30,3.47e-05,3.4899999999999995e-05,3.39e-05,3.4399999999999996e-05,216346.14,7.4,XRP
2015-05-01,3.4399999999999996e-05,3.5499999999999996e-05,3.37e-05,3.4200000000000005e-05,204560.68,7.06,XRP
2015-05-02,3.4200000000000005e-05,3.48e-05,3.35e-05,3.3799999999999995e-05,379458.93,12.91,XRP
