DateTime,Open,High,Low,Close,Symbol
2015-03-30,246.79,248.7,241.18,244.15,BTC
2015-03-31,244.15,247.67,239.57,246.24,BTC
2015-04-01,246.24,254.85,244.25,252.6,BTC
2015-04-02,252.6,256.53,251.26,254.48,BTC
2015-04-03,254.48,255.24,250.31,252.89,BTC
2015-04-04,252.89,260.26,250.6,259.64,BTC
2015-04-05,259.64,261.45,252.32,254.97,BTC
2015-04-06,254.97,255.6,250.15,252.97,BTC
2015-04-07,252.97,254.26,242.57,244.57,BTC
2015-04-08,244.57,246.22,237.62,243.32,BTC
2015-04-09,243.32,244.11,231.3,234.73,BTC
2015-04-10,234.73,240.0,233.12,236.48,BTC
2015-04-11,236.48,237.52,232.27,235.85,BTC
2015-04-12,235.85,236.75,220.36,223.59,BTC
2015-04-13,223.59,224.72,214.27,217.99,BTC
2015-04-14,217.99,223.56,217.15,222.97,BTC
2015-04-15,222.97,229.53,222.87,227.98,BTC
2015-04-16,227.98,229.28,220.56,222.59,BTC
2015-04-17,222.59,224.47,220.57,223.35,BTC
2015-04-18,223.35,226.94,221.96,223.02,BTC
2015-04-19,223.02,226.72,221.58,224.24,BTC
2015-04-20,224.24,235.27,223.29,233.73,BTC
2015-04-21,233.73,238.4,231.8,233.78,BTC
2015-04-22,233.78,236.12,232.58,235.4,BTC
2015-04-23,235.4,236.55,229.06,231.09,BTC
2015-04-24,231.09,232.29,223.05,226.14,BTC
2015-04-25,226.14,226.72,214.14,218.7,BTC
2015-04-26,218.7,242.65,216.6,228.96,BTC
2015-04-27,228.96,229.87,222.03,225.81,BTC
2015-04-28,225.81,227.24,222.25,225.42,BTC
2015-04-29,225.42,240.01,224.68,235.77,BTC
2015-04-30,235.77,239.42,232.38,233.21,BTC
2015-05-01,233.21,236.38,231.73,235.34,BTC
2015-05-02,235.34,243.58,233.8,239.99,BTC
2015-05-03,239.99,243.2,237.45,238.97,BTC
2015-05-04,238.97,239.61,231.78,235.82,BTC
2015-05-05,235.82,237.15,228.24,230.03,BTC
2015-05-06,230.03,240.25,228.33,237.73,BTC
2015-05-07,237.73,247.01,235.77,243.74,BTC
2015-05-08,243.74,247.87,238.52,241.4,BTC
2015-05-09,241.4,244.82,238.23,239.96,BTC
2015-05-10,239.96,243.95,238.86,241.81,BTC
2015-05-11,241.81,243.0,239.18,241.58,BTC
2015-05-12,241.58,243.91,234.07,236.38,BTC
2015-05-13,236.38,239.17,232.36,236.9,BTC
2015-05-14,236.9,238.83,235.53,237.2,BTC
2015-05-15,237.2,237.78,234.57,236.23,BTC
2015-05-16,236.23,237.77,235.35,236.3,BTC
2015-05-17,236.3,237.1,231.46,232.64,BTC
2015-05-18,232.64,234.5,231.27,232.02,BTC
2015-05-19,232.02,235.17,231.47,233.96,BTC
2015-05-20,233.96,236.65,233.61,235.38,BTC
2015-05-21,235.38,242.0,234.56,240.37,BTC
2015-05-22,240.37,241.73,238.05,238.94,BTC
2015-05-23,238.94,242.39,237.48,240.98,BTC
2015-05-24,240.98,241.79,235.81,237.41,BTC
2015-05-25,237.41,238.99,235.58,237.84,BTC
2015-05-26,237.84,238.95,235.89,237.29,BTC
2015-05-27,237.29,238.41,236.23,237.32,BTC
2015-05-28,237.32,237.89,235.13,237.03,BTC
2015-05-29,237.03,237.06,231.59,233.22,BTC
2015-05-30,233.22,233.99,229.13,229.84,BTC
2015-05-31,229.84,231.76,220.97,223.14,BTC
2015-06-01,223.14,227.44,222.25,225.74,BTC
2015-06-02,225.74,227.86,223.69,225.59,BTC
2015-06-03,225.59,226.71,223.49,224.22,BTC
2015-06-04,224.22,226.36,222.15,225.29,BTC
2015-06-05,225.29,225.76,223.53,224.74,BTC
2015-06-06,224.74,226.36,222.21,223.47,BTC
2015-06-07,223.47,229.91,222.99,228.57,BTC
2015-06-08,228.57,231.36,227.51,229.56,BTC
2015-06-09,229.56,230.44,227.84,228.79,BTC
2015-06-10,228.79,230.64,228.54,229.88,BTC
2015-06-11,229.88,231.58,229.29,230.46,BTC
2015-06-12,230.46,233.14,229.01,232.48,BTC
2015-06-13,232.48,235.51,232.09,233.75,BTC
2015-06-14,233.75,238.55,233.29,237.0,BTC
2015-06-15,237.0,254.15,235.7,249.82,BTC
2015-06-16,249.82,258.48,245.09,247.38,BTC
2015-06-17,247.38,251.95,242.46,248.44,BTC
2015-06-18,248.44,250.81,243.65,244.13,BTC
2015-06-19,244.13,246.63,238.7,244.98,BTC
2015-06-20,244.98,246.03,240.94,244.1,BTC
2015-06-21,244.1,248.6,243.16,247.46,BTC
2015-06-22,247.46,247.67,242.32,243.76,BTC
2015-06-23,243.76,244.51,239.05,240.56,BTC
2015-06-24,240.56,243.65,239.32,242.56,BTC
2015-06-25,242.56,243.49,240.14,242.95,BTC
2015-06-26,242.95,251.57,241.83,250.73,BTC
2015-06-27,250.73,251.59,246.62,248.88,BTC
2015-06-28,248.88,257.54,247.96,256.97,BTC
