DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol
2016-07-23,1.1e-05,1.1e-05,1.0199999999999999e-05,1.0300000000000001e-05,23301899.0,244.67,XEM
2016-07-24,1.0300000000000001e-05,1.0800000000000002e-05,1.01e-05,1.07e-05,16931399.86,175.99,XEM
2016-07-25,1.07e-05,1.0800000000000002e-05,9.71e-06,1.0199999999999999e-05,49429072.81,504.56,XEM
2016-07-26,1.0199999999999999e-05,1.07e-05,9.84e-06,1.01e-05,30984130.52,315.18,XEM
2016-07-27,1.01e-05,1.0199999999999999e-05,9.9e-06,1.01e-05,15458295.03,154.86,XEM
2016-07-28,1.01e-05,1.01e-05,9.92e-06,9.97e-06,6506261.88,65.08,XEM
2016-07-29,9.97e-06,1.0300000000000001e-05,9.97e-06,1.0199999999999999e-05,9062484.89,91.42,XEM
2016-07-30,1.0199999999999999e-05,1.0800000000000002e-05,1.0199999999999999e-05,1.07e-05,14402871.92,151.86,XEM
2016-07-31,1.07e-05,1.0800000000000002e-05,1.01e-05,1.04e-05,24213958.37,252.75,XEM
2016-08-01,1.04e-05,1.05e-05,8.85e-06,9.06e-06,93974358.23,877.61,XEM
2016-08-02,9.06e-06,9.6e-06,8.69e-06,9.09e-06,51429872.97,470.98,XEM
2016-08-03,9.09e-06,9.85e-06,9e-06,9.06e-06,41216229.4,384.41,XEM
2016-08-04,9.06e-06,9.31e-06,9.03e-06,9.21e-06,9430559.85,86.34,XEM
2016-08-05,9.21e-06,9.21e-06,8.77e-06,9.13e-06,20403500.72,183.78,XEM
2016-08-06,9.13e-06,9.17e-06,8e-06,8.42e-06,32525315.25,276.0,XEM
2016-08-07,8.42e-06,8.85e-06,8.38e-06,8.39e-06,12707238.34,108.87,XEM
2016-08-08,8.39e-06,1.06e-05,8.29e-06,9.45e-06,63568284.84,613.51,XEM
2016-08-09,9.45e-06,1.05e-05,9.21e-06,9.27e-06,25329704.41,244.87,XEM
2016-08-10,9.27e-06,9.94e-06,9.24e-06,9.66e-06,9974259.32,94.93,XEM
2016-08-11,9.66e-06,1.24e-05,9.55e-06,1.17e-05,72220805.21,797.83,XEM
2016-08-12,1.17e-05,1.1900000000000001e-05,1.07e-05,1.11e-05,24723128.69,280.06,XEM
2016-08-13,1.11e-05,1.1900000000000001e-05,1.0800000000000002e-05,1.13e-05,16684624.11,188.44,XEM
2016-08-14,1.13e-05,1.1599999999999999e-05,1.09e-05,1.1e-05,8431063.32,94.37,XEM
2016-08-15,1.1e-05,1.13e-05,1.05e-05,1.07e-05,10712425.19,115.14,XEM
2016-08-16,1.07e-05,1.1e-05,1.06e-05,1.09e-05,5934149.07,63.81,XEM
2016-08-17,1.09e-05,1.15e-05,1.09e-05,1.12e-05,10738981.93,120.35,XEM
