stock_id;Date;PriceOfLastTransaction;MaxPrice;MinPrice;AvgPrice;ChangePercentage;TradedQuantity;TotalTradedVolume;TotalTradedVolumeIncludingBlocks
ALK;15/01/19;8400.0;8400.0;8350.0;8393.65;0.07;63;528800;528800
ALK;14/01/19;8400.0;8400.0;8350.0;8388.1;0.46;84;704600;704600
ALK;11/01/19;8350.0;8350.0;8350.0;8350.0;0.17;7;58450;58450
ALK;10/01/19;8300.0;8400.0;8300.0;8336.21;-0.16;642;5351850;5351850
ALK;09/01/19;8351.0;8351.0;8300.0;8349.43;0.61;168;1402705;1402705
ALK;08/01/19;8300.0;8300.0;8251.0;8298.74;-0.01;309;2564312;2564312
ALK;04/01/19;8400.0;8400.0;8201.0;8299.25;0.9;599;4971251;4971251
ALK;03/01/19;8250.0;8250.0;8200.0;8225.0;0.3;56;460600;460600
ALK;02/01/19;8200.0;8200.0;8200.0;8200.0;-0.01;4;32800;32800
ALK;28/12/18;8200.0;8298.0;8200.0;8200.64;0.62;304;2492996;2492996
ALK;27/12/18;8160.0;8160.0;8150.0;8150.33;0.05;305;2485850;2485850
ALK;25/12/18;8150.0;8150.0;8053.0;8096.73;0.58;77;623448;623448
ALK;24/12/18;8050.0;8050.0;8050.0;8050.0;-1.59;18;144900;144900
ALK;21/12/18;8200.0;8200.0;8170.0;8180.0;-0.75;15;122700;122700
ALK;20/12/18;8200.0;8250.0;8200.0;8241.76;-0.1;182;1500000;1500000
ALK;19/12/18;8250.0;8250.0;8250.0;8250.0;0.61;140;1155000;1155000
ALK;18/12/18;8200.0;8200.0;8200.0;8200.0;-0.24;68;557600;557600
ALK;17/12/18;8250.0;8250.0;8200.0;8219.33;0.26;388;3189100;3189100
ALK;14/12/18;8200.0;8201.0;8170.0;8197.71;-1.16;77;631224;631224
ALK;13/12/18;8250.0;8300.0;8222.0;8293.68;-0.06;486;4030728;4030728
ALK;12/12/18;8270.0;8300.0;8270.0;8298.81;0.33;368;3053961;3053961
ALK;11/12/18;8300.0;8300.0;8161.0;8271.79;1.51;811;6708425;6708425
