stock_id;Date;PriceOfLastTransaction;MaxPrice;MinPrice;AvgPrice;ChangePercentage;TradedQuantity;TotalTradedVolume;TotalTradedVolumeIncludingBlocks
GRNT;15/01/19;831.0;831.0;830.0;830.76;0.09;2185;1815210;1815210
GRNT;14/01/19;830.0;830.0;830.0;830.0;1.28;4068;3376440;3376440
GRNT;11/01/19;820.0;820.0;815.0;819.48;1.17;2230;1827450;1827450
GRNT;10/01/19;810.0;810.0;810.0;810.0;-0.6;390;315900;315900
GRNT;09/01/19;815.0;815.0;814.0;814.9;0.7;973;792902;792902
GRNT;08/01/19;810.0;810.0;791.0;809.23;-0.03;1320;1068180;1068180
GRNT;04/01/19;810.0;810.0;800.0;809.45;1.18;1475;1193940;1193940
GRNT;03/01/19;800.0;800.0;800.0;800.0;-0.06;200;160000;160000
GRNT;02/01/19;800.0;;;800.48;0.0;0;0;0
GRNT;28/12/18;800.0;810.0;800.0;800.48;1.74;525;420250;420250
GRNT;27/12/18;785.0;799.0;780.0;786.82;2.57;1385;1089750;1089750
GRNT;25/12/18;770.0;771.0;770.0;770.27;-1.11;1946;1498948;1498948
GRNT;24/12/18;770.0;790.0;770.0;778.92;-1.42;205;159678;159678
GRNT;21/12/18;800.0;;;790.17;0.0;0;0;0
GRNT;20/12/18;800.0;800.0;790.0;790.17;-1.47;240;189640;189640
GRNT;19/12/18;800.0;814.0;790.0;801.95;0.24;399;319978;319978
GRNT;18/12/18;800.0;800.0;800.0;800.0;0.72;250;200000;200000
GRNT;17/12/18;790.0;800.0;790.0;794.29;-0.73;35;27800;27800
GRNT;14/12/18;800.0;801.0;800.0;800.16;-2.3;624;499300;499300
GRNT;13/12/18;819.0;819.0;819.0;819.0;1.13;15;12285;12285
GRNT;12/12/18;810.0;810.0;802.0;809.83;-0.13;480;388720;388720
GRNT;11/12/18;810.0;;;810.87;0.0;0;0;0
GRNT;10/12/18;810.0;824.0;810.0;810.87;1.36;161;130550;130550
GRNT;07/12/18;800.0;800.0;800.0;800.0;-0.21;1512;1209600;1209600
GRNT;06/12/18;800.0;810.0;800.0;801.65;-2.24;370;296610;296610
GRNT;05/12/18;820.0;820.0;820.0;820.0;1.23;3530;2894600;4692860
GRNT;04/12/18;810.0;810.0;810.0;810.0;-0.05;77;62370;62370
GRNT;03/12/18;820.0;820.0;810.0;810.41;0.25;485;393050;393050
GRNT;30/11/18;805.0;811.0;805.0;808.36;-1.63;508;410647;410647
GRNT;29/11/18;820.0;;;821.78;0.0;0;0;0
GRNT;28/11/18;820.0;825.0;820.0;821.78;-0.04;311;255575;255575
GRNT;27/11/18;825.0;825.0;820.0;822.11;0.25;705;579585;579585
GRNT;26/11/18;821.0;821.0;820.0;820.05;0.23;1805;1480185;1480185
GRNT;23/11/18;820.0;820.0;815.0;818.17;0.96;197;161180;161180
GRNT;22/11/18;807.0;;;810.41;0.0;0;0;0
GRNT;21/11/18;807.0;825.0;807.0;810.41;-0.11;440;356580;356580
GRNT;20/11/18;806.0;815.0;806.0;811.27;-1.6;320;259605;259605
GRNT;19/11/18;825.0;825.0;814.0;824.44;-0.12;832;685938;685938
GRNT;16/11/18;825.0;826.0;825.0;825.39;-2.89;515;425075;425075
GRNT;15/11/18;850.0;;;849.96;0.0;0;0;0
GRNT;14/11/18;850.0;850.0;849.0;849.96;0.11;1125;956200;956200
GRNT;13/11/18;849.0;849.0;849.0;849.0;-0.12;430;365070;365070
GRNT;12/11/18;850.0;850.0;850.0;850.0;0.0;90;76500;76500
GRNT;09/11/18;850.0;850.0;850.0;850.0;-1.16;377;320450;320450
GRNT;08/11/18;860.0;860.0;860.0;860.0;0.04;227;195220;195220
GRNT;07/11/18;860.0;;;859.63;0.0;0;0;0
GRNT;06/11/18;860.0;860.0;850.0;859.63;0.1;296;254450;254450
GRNT;05/11/18;860.0;860.0;854.0;858.76;1.02;1072;920588;920588
GRNT;02/11/18;850.0;865.0;850.0;850.11;0.06;10610;9019655;9019655
GRNT;01/11/18;850.0;850.0;849.0;849.63;1.15;1172;995770;995770
GRNT;31/10/18;840.0;840.0;840.0;840.0;-0.01;490;411600;411600
GRNT;30/10/18;840.0;850.0;839.0;840.1;0.11;6957;5844595;5844595
GRNT;29/10/18;840.0;840.0;826.0;839.17;-0.7;3720;3121720;3121720
GRNT;26/10/18;840.0;;;845.07;0.0;0;0;0
GRNT;25/10/18;840.0;850.0;840.0;845.07;-2.47;1080;912680;912680
GRNT;24/10/18;858.0;880.0;857.0;866.5;-1.81;3902;3381080;3381080
GRNT;22/10/18;880.0;899.0;866.0;882.5;6.37;5990;5286204;5286204
GRNT;19/10/18;830.0;830.0;828.0;829.62;1.98;1587;1316610;1316610
GRNT;18/10/18;829.0;829.0;810.0;813.53;1.69;2166;1762110;1762110
GRNT;17/10/18;800.0;800.0;800.0;800.0;0.4;641;512800;512800
GRNT;16/10/18;800.0;800.0;791.0;796.82;0.74;283;225500;225500
GRNT;15/10/18;791.0;791.0;791.0;791.0;-1.12;298;235718;235718
GRNT;12/10/18;800.0;800.0;800.0;800.0;-1.36;520;416000;416000
GRNT;10/10/18;810.0;830.0;810.0;811.05;0.13;2095;1699150;1699150
GRNT;09/10/18;810.0;810.0;810.0;810.0;4.37;70;56700;56700
GRNT;08/10/18;769.0;782.0;765.0;776.07;-0.93;1190;923520;923520
GRNT;05/10/18;780.0;790.0;780.0;783.36;-2.39;226;177040;177040
GRNT;04/10/18;792.0;812.0;792.0;802.51;-1.22;1122;900419;2405219
GRNT;03/10/18;811.0;825.0;810.0;812.46;-2.06;1690;1373062;1373062
GRNT;02/10/18;825.0;845.0;825.0;829.59;-0.19;1834;1521470;1521470
GRNT;01/10/18;830.0;839.0;821.0;831.2;-3.86;3225;2680625;2680625
GRNT;28/09/18;869.0;875.0;850.0;864.59;1.96;4692;4056640;4056640
