stock_id;Date;PriceOfLastTransaction;MaxPrice;MinPrice;AvgPrice;ChangePercentage;TradedQuantity;TotalTradedVolume;TotalTradedVolumeIncludingBlocks
KMB;15/01/19;5351.0;5400.0;5350.0;5388.59;0.47;381;2053052;2053052
KMB;14/01/19;5385.0;5385.0;5350.0;5363.41;0.26;582;3121503;3121503
KMB;11/01/19;5350.0;5350.0;5349.0;5349.59;0.89;243;1299950;1299950
KMB;10/01/19;5295.0;5350.0;5294.0;5302.48;-0.86;897;4756326;4756326
KMB;09/01/19;5351.0;5377.0;5300.0;5348.39;1.02;1198;6407368;6407368
KMB;08/01/19;5300.0;5300.0;5253.0;5294.64;1.42;900;4765180;4765180
KMB;04/01/19;5250.0;5250.0;5160.0;5220.47;1.37;726;3790060;3790060
KMB;03/01/19;5150.0;5150.0;5150.0;5150.0;0.98;100;515000;515000
KMB;02/01/19;5100.0;5100.0;5100.0;5100.0;0.98;100;510000;510000
KMB;28/12/18;5049.0;5070.0;5048.0;5050.4;0.88;1971;9954340;9954340
KMB;27/12/18;5050.0;5050.0;4997.0;5006.3;2.16;1338;6698433;6698433
KMB;25/12/18;4920.0;4920.0;4902.0;4917.32;-0.64;47;231114;231114
KMB;24/12/18;4950.0;4950.0;4906.0;4949.22;-0.94;508;2514204;2514204
KMB;21/12/18;4950.0;4998.0;4950.0;4996.27;-0.05;45;224832;224832
KMB;20/12/18;4999.0;4999.0;4999.0;4999.0;-0.46;53;264947;264947
KMB;19/12/18;5020.0;5050.0;5020.0;5021.95;-0.04;1676;8416790;8416790
KMB;18/12/18;5021.0;5050.0;5020.0;5023.88;-0.5;1322;6641570;6641570
KMB;17/12/18;5050.0;5100.0;5020.0;5049.17;0.5;1418;7159724;7159724
KMB;14/12/18;5031.0;5031.0;5002.0;5024.07;-0.79;1843;9259359;9259359
KMB;13/12/18;5050.0;5100.0;5043.0;5064.17;-1.58;713;3610754;3610754
KMB;12/12/18;5100.0;5213.0;5100.0;5145.51;1.65;175;900465;900465
KMB;11/12/18;5099.0;5099.0;5049.0;5062.11;2.62;1692;8565097;8565097
KMB;10/12/18;5000.0;5000.0;4900.0;4932.79;2.35;422;2081636;2081636
KMB;07/12/18;4900.0;4900.0;4800.0;4819.34;1.21;791;3812101;3812101
KMB;06/12/18;4800.0;4801.0;4711.0;4761.87;-1.95;2366;11266588;12336988
KMB;05/12/18;4850.0;4909.0;4837.0;4856.67;-2.6;943;4579836;6616836
KMB;04/12/18;4975.0;4994.0;4975.0;4986.3;-0.15;250;1246574;2294474
KMB;03/12/18;4992.0;4998.0;4980.0;4993.66;-0.22;1144;5712750;11208350
KMB;30/11/18;4996.0;5047.0;4996.0;5004.53;-0.95;1231;6160575;9760575
KMB;29/11/18;5050.0;5056.0;5050.0;5052.7;-0.08;890;4496907;5506907
KMB;28/11/18;5045.0;5059.0;5039.0;5056.81;-0.16;178;900112;900112
KMB;27/11/18;5065.0;5065.0;5065.0;5065.0;0.0;45;227925;227925
KMB;26/11/18;5051.0;5070.0;5051.0;5064.83;1.21;1406;7121157;7121157
KMB;23/11/18;5002.0;5050.0;5000.0;5004.33;-0.83;215;1075930;1075930
KMB;22/11/18;5040.0;5100.0;5040.0;5046.39;-1.33;444;2240599;2240599
KMB;21/11/18;5100.0;5150.0;5100.0;5114.67;-1.02;1684;8613100;10149400
KMB;20/11/18;5149.0;5200.0;5149.0;5167.52;-1.55;810;4185693;5241443
KMB;19/11/18;5229.0;5300.0;5229.0;5248.77;-0.75;795;4172770;4172770
KMB;16/11/18;5278.0;5360.0;5278.0;5288.28;-1.52;1141;6033926;8708926
KMB;15/11/18;5350.0;5380.0;5350.0;5370.17;-0.35;953;5117770;5117770
KMB;14/11/18;5361.0;5396.0;5356.0;5388.84;-0.2;411;2214814;2214814
KMB;13/11/18;5385.0;5400.0;5382.0;5399.5;0.11;330;1781834;1781834
KMB;12/11/18;5400.0;5400.0;5380.0;5393.35;-0.32;319;1720480;1720480
KMB;09/11/18;5423.0;5425.0;5400.0;5410.76;-0.07;1869;10112706;10112706
KMB;08/11/18;5410.0;5421.0;5400.0;5414.45;-0.18;1523;8246213;8246213
KMB;07/11/18;5425.0;5425.0;5411.0;5424.35;-0.36;773;4193019;4193019
KMB;06/11/18;5410.0;5449.0;5410.0;5443.88;0.76;693;3772607;3772607
KMB;05/11/18;5403.0;5403.0;5403.0;5403.0;-0.86;5;27015;27015
KMB;02/11/18;5450.0;5450.0;5450.0;5450.0;0.24;60;327000;327000
KMB;01/11/18;5450.0;5451.0;5401.0;5437.0;0.64;562;3055593;3055593
KMB;31/10/18;5430.0;5430.0;5400.0;5402.34;0.04;305;1647713;1647713
KMB;30/10/18;5400.0;5400.0;5400.0;5400.0;-0.18;1197;6463800;11863800
KMB;29/10/18;5425.0;5450.0;5400.0;5409.77;-1.96;133;719500;719500
KMB;26/10/18;5500.0;5560.0;5500.0;5517.84;-1.18;1225;6759351;6759351
KMB;25/10/18;5600.0;5600.0;5560.0;5583.99;1.05;1634;9124234;71811994
KMB;24/10/18;5512.0;5621.0;5500.0;5525.9;-0.74;2759;15245950;15245950
KMB;22/10/18;5503.0;5699.0;5500.0;5567.22;7.07;2292;12760057;12760057
KMB;19/10/18;5200.0;5200.0;5198.0;5199.83;0.93;1278;6645382;6645382
KMB;18/10/18;5155.0;5156.0;5150.0;5151.75;1.32;4099;21117021;26297021
KMB;17/10/18;5150.0;5150.0;5050.0;5084.59;1.69;1770;8999726;8999726
KMB;16/10/18;5000.0;5000.0;5000.0;5000.0;0.05;367;1835000;1835000
KMB;15/10/18;5000.0;5000.0;4990.0;4997.73;-0.37;225;1124490;1124490
KMB;12/10/18;5000.0;5020.0;5000.0;5016.36;-1.37;165;827700;827700
KMB;10/10/18;5050.0;5100.0;5050.0;5085.93;3.32;834;4241665;4241665
