stock_id;Date;PriceOfLastTransaction;MaxPrice;MinPrice;AvgPrice;ChangePercentage;TradedQuantity;TotalTradedVolume;TotalTradedVolumeIncludingBlocks
MPT;15/01/19;50500.0;50501.0;50400.0;50485.48;0.19;132;6664084;6664084
MPT;14/01/19;50399.0;50399.0;50350.0;50388.47;1.08;17;856604;856604
MPT;11/01/19;50001.0;50001.0;49550.0;49850.67;0.65;99;4935216;4935216
MPT;10/01/19;49900.0;49900.0;49100.0;49527.94;0.65;34;1683950;1683950
MPT;09/01/19;49500.0;49500.0;49000.0;49208.33;1.6;12;590500;590500
MPT;08/01/19;48480.0;48480.0;48350.0;48431.57;-0.1;51;2470010;2470010
MPT;04/01/19;48480.0;48480.0;48480.0;48480.0;1.06;2;96960;96960
MPT;03/01/19;48000.0;48000.0;47900.0;47970.83;1.0;24;1151300;1151300
MPT;02/01/19;47500.0;;;47495.3;0.0;0;0;0
MPT;28/12/18;47500.0;47500.0;47390.0;47495.3;1.11;71;3372166;3372166
MPT;27/12/18;47000.0;47000.0;46100.0;46973.24;2.11;34;1597090;1597090
MPT;26/12/18;46001.0;46001.0;46001.0;46001.0;-0.02;1;46001;46001
MPT;25/12/18;46011.0;46011.0;46011.0;46011.0;-2.09;15;690165;690165
MPT;24/12/18;47000.0;47000.0;46800.0;46995.39;0.22;44;2067797;2067797
MPT;21/12/18;46800.0;;;46890.91;0.0;0;0;0
MPT;20/12/18;46800.0;47000.0;46800.0;46890.91;-1.28;11;515800;515800
MPT;19/12/18;47500.0;47500.0;47499.0;47499.33;1.06;3;142498;142498
MPT;18/12/18;47000.0;47000.0;47000.0;47000.0;0.61;18;846000;846000
MPT;17/12/18;47000.0;47000.0;46500.0;46714.29;0.07;7;327000;327000
MPT;14/12/18;46510.0;47120.0;46510.0;46679.54;-1.73;39;1820502;1820502
MPT;13/12/18;47500.0;47500.0;47500.0;47500.0;0.0;3;142500;142500
MPT;12/12/18;47500.0;47500.0;47500.0;47500.0;1.06;35;1662500;1662500
MPT;11/12/18;47000.0;47001.0;47000.0;47000.07;1.2;144;6768010;6768010
MPT;10/12/18;46500.0;46500.0;46051.0;46443.88;0.75;8;371551;371551
MPT;07/12/18;46500.0;46500.0;46050.0;46098.68;0.21;19;875875;875875
MPT;06/12/18;46010.0;46010.0;46000.0;46000.06;-1.82;165;7590010;7590010
MPT;05/12/18;46300.0;47101.0;46300.0;46853.8;-2.39;30;1405614;1405614
MPT;04/12/18;48000.0;;;48000.0;0.0;0;0;0
MPT;03/12/18;48000.0;48000.0;48000.0;48000.0;1.05;3;144000;144000
MPT;30/11/18;47500.0;47500.0;47500.0;47500.0;0.0;14;665000;665000
MPT;29/11/18;47500.0;47500.0;47499.0;47499.96;0.0;24;1139999;1139999
MPT;28/11/18;47500.0;47500.0;47500.0;47500.0;-1.04;2;95000;95000
MPT;27/11/18;47998.0;48000.0;47998.0;47999.42;-0.98;12;575993;575993
MPT;26/11/18;48500.0;48500.0;48450.0;48475.0;2.59;2;96950;96950
MPT;23/11/18;47000.0;48000.0;47000.0;47250.0;0.01;4;189000;189000
MPT;22/11/18;47000.0;47301.0;47000.0;47246.38;-1.59;26;1228406;1228406
MPT;21/11/18;48000.0;48020.0;48000.0;48007.5;-1.02;22;1056165;1056165
MPT;20/11/18;48500.0;48500.0;48500.0;48500.0;-0.73;6;291000;291000
MPT;19/11/18;48500.0;49428.0;48500.0;48858.85;-1.15;13;635165;635165
MPT;16/11/18;49900.0;49900.0;48250.0;49428.57;1.91;7;346000;346000
MPT;15/11/18;48500.0;48500.0;48500.0;48500.0;-2.95;3;145500;145500
MPT;14/11/18;49899.0;50000.0;49899.0;49974.75;0.11;4;199899;199899
MPT;13/11/18;49999.0;51000.0;48001.0;49921.4;5.32;178;8886010;8886010
MPT;12/11/18;47400.0;;;47400.0;0.0;0;0;0
MPT;09/11/18;47400.0;47400.0;47400.0;47400.0;0.64;1;47400;47400
MPT;08/11/18;47100.0;47100.0;47100.0;47100.0;-0.42;1;47100;47100
MPT;07/11/18;47100.0;47500.0;47100.0;47300.0;-0.42;2;94600;94600
MPT;06/11/18;47500.0;47500.0;47500.0;47500.0;-1.04;5;237500;237500
MPT;05/11/18;48000.0;48000.0;48000.0;48000.0;0.0;20;960000;960000
MPT;02/11/18;48000.0;48000.0;47999.0;47999.98;0.0;48;2303999;2303999
MPT;01/11/18;48000.0;48000.0;48000.0;48000.0;0.0;46;2208000;2208000
MPT;31/10/18;47999.0;48000.0;47999.0;47999.47;0.0;66;3167965;3167965
MPT;30/10/18;48000.0;48000.0;48000.0;48000.0;0.0;6;288000;288000
MPT;29/10/18;48000.0;48000.0;48000.0;48000.0;1.26;28;1344000;1344000
MPT;26/10/18;48000.0;48000.0;47102.0;47401.08;-1.3;13;616214;616214
MPT;25/10/18;48000.0;48110.0;48000.0;48023.15;-3.06;40;1920926;1920926
MPT;24/10/18;49000.0;50000.0;49000.0;49540.86;-1.03;49;2427502;2427502
MPT;22/10/18;50000.0;52399.0;49501.0;50055.82;4.86;226;11312616;11312616
MPT;19/10/18;48000.0;48000.0;46920.0;47735.31;1.74;49;2339030;2339030
MPT;18/10/18;46920.0;46920.0;46920.0;46920.0;2.99;6;281520;281520
MPT;17/10/18;46000.0;46000.0;45001.0;45557.0;1.24;33;1503381;1503381
MPT;16/10/18;45000.0;45010.0;45000.0;45000.74;-0.65;27;1215020;1215020
MPT;15/10/18;45200.0;45310.0;45200.0;45296.92;-2.59;13;588860;588860
