DateTime,Open,High,Low,Close,Volume,VolumeBTC,Symbol
2010-07-16,0.04951,0.04951,0.04951,0.04951,20,0.9902,USD
2010-07-17,0.04951,0.08585,0.05941,0.08584,75.01,5.09,USD
2010-07-18,0.08584,0.09307,0.07723,0.0808,574,49.66,USD
2010-07-19,0.0808,0.08181,0.07426,0.07474,262,20.59,USD
2010-07-20,0.07474,0.07921,0.06634,0.07921,575,42.26,USD
2010-07-21,0.07921,0.08181,0.0505,0.0505,2160,129.78,USD
2010-07-22,0.0505,0.06767,0.0505,0.06262,2402.5,141.07,USD
2010-07-23,0.06262,0.06161,0.05049,0.05454,496.32,26.73,USD
2010-07-24,0.05454,0.05941,0.0505,0.0505,1551.48,85.06,USD
2010-07-25,0.0505,0.056,0.05,0.056,877,46.91,USD
2010-07-26,0.056,0.0605,0.053,0.06,3373.69,196.92,USD
2010-07-27,0.06,0.062,0.054,0.0589,4390.29,255.76,USD
2010-07-28,0.0589,0.0699,0.0571,0.0699,8058.49,528.32,USD
2010-07-29,0.0699,0.0698,0.0582,0.0627,3020.85,198.53,USD
2010-07-30,0.0627,0.06889,0.056,0.06785,4022.25,243.9,USD
2010-07-31,0.06785,0.065,0.06,0.0611,2601,162.65,USD
2010-08-01,0.0611,0.0633,0.06,0.06,3599,221.2,USD
2010-08-02,0.06,0.065,0.059,0.06,9821.46,606.05,USD
2010-08-03,0.06,0.06231,0.057,0.057,3494,210.77,USD
2010-08-04,0.057,0.061,0.058,0.061,5034.07,303.61,USD
2010-08-05,0.061,0.0624,0.0607,0.0623,1395,85.91,USD
2010-08-06,0.0623,0.0622,0.059,0.059,2619,157.34,USD
2010-08-07,0.059,0.061,0.059,0.0609,2201,132.6,USD
2010-08-08,0.0609,0.0735,0.0593,0.071,13631.09,886.93,USD
2010-08-09,0.071,0.0709,0.06651,0.07,1310.39,88.87,USD
2010-08-10,0.07,0.07541,0.06,0.067,14061.18,1015.64,USD
2010-08-11,0.067,0.07,0.06141,0.07,2062.31,134.49,USD
2010-08-12,0.07,0.068,0.0645,0.0645,3591.77,233.8,USD
2010-08-13,0.0645,0.0695,0.0645,0.067,4404.2,295.31,USD
2010-08-14,0.067,0.067,0.065,0.06529,4462.87,294.95,USD
2010-08-15,0.06529,0.0679,0.062,0.0655,10731.47,696.8,USD
2010-08-16,0.0655,0.0769,0.06243,0.07,13185.74,915,USD
2010-08-17,0.07,0.0733,0.067,0.068,2953.98,203.83,USD
2010-08-18,0.068,0.0679,0.0667,0.0667,741.12,50.04,USD
2010-08-19,0.0667,0.0667,0.065,0.0655,4199.75,276.41,USD
2010-08-20,0.0655,0.0669,0.0644,0.0664,10443.86,688.51,USD
2010-08-21,0.0664,0.0664,0.0612,0.066,18648.97,1183.64,USD
2010-08-22,0.066,0.06689,0.063,0.06491,4297.49,281.88,USD
2010-08-23,0.06491,0.0665,0.06491,0.065,6711.76,444.66,USD
2010-08-24,0.065,0.0665,0.0641,0.0648,4228.88,278.86,USD
2010-08-25,0.0648,0.0658,0.064,0.064,3870.01,251.56,USD
2010-08-26,0.064,0.065,0.063,0.065,9009.97,583.71,USD
2010-08-27,0.065,0.065,0.0641,0.0641,6174.01,399.45,USD
2010-08-28,0.0641,0.0648,0.064,0.064,3173.4,204.88,USD
2010-08-29,0.064,0.069,0.03211,0.06497,34193.14,2135,USD
2010-08-30,0.06497,0.0649,0.06,0.06,14886.91,933.23,USD
2010-08-31,0.06,0.0629,0.05961,0.0629,7164.72,436.73,USD
2010-09-01,0.0629,0.0634,0.0601,0.0634,8150.73,498.98,USD
2010-09-02,0.0634,0.063,0.06085,0.06085,892,54.61,USD
2010-09-03,0.06085,0.06238,0.0612,0.06238,3301,202.27,USD
2010-09-04,0.06238,0.064,0.0605,0.0616,8459.24,527.97,USD
2010-09-05,0.0616,0.0627,0.0616,0.0616,910,56.13,USD
2010-09-06,0.0616,0.06201,0.0603,0.061,3457.19,212.35,USD
2010-09-07,0.061,0.062,0.06099,0.062,2345.41,143.36,USD
2010-09-08,0.062,0.0624,0.06109,0.06111,1733.5,107.68,USD
2010-09-09,0.06111,0.0618,0.06014,0.0618,4939.79,301.8,USD
2010-09-10,0.0618,0.065,0.0619,0.06366,7749.14,491.19,USD
2010-09-11,0.06366,0.0621,0.0615,0.0615,793.88,48.99,USD
2010-09-12,0.0615,0.064,0.0607,0.06219,10076.34,632.2,USD
2010-09-13,0.06219,0.175,0.061,0.06199,14014.81,876.76,USD
2010-09-14,0.06199,0.0625,0.0604,0.0604,3651.85,223.27,USD
2010-09-15,0.0604,0.0619,0.0618,0.0619,730,45.17,USD
2010-09-16,0.0619,0.0609,0.059,0.059,7262,438.94,USD
2010-09-17,0.059,0.061,0.05761,0.061,7092.61,427.76,USD
2010-09-18,0.061,0.0627,0.06,0.0627,12852.17,797.36,USD
2010-09-19,0.0627,0.0634,0.062,0.0621,14307.94,891.19,USD
2010-09-20,0.0621,0.0633,0.0623,0.06265,5735.95,359.82,USD
2010-09-21,0.06265,0.0624,0.06147,0.0622,11560.4,717.33,USD
2010-09-22,0.0622,0.063,0.0615,0.06231,15505.33,970.09,USD
2010-09-23,0.06231,0.0624,0.06209,0.0622,684.38,42.66,USD
2010-09-24,0.0622,0.0624,0.0617,0.06202,2152.5,133.05,USD
2010-09-25,0.06202,0.06228,0.06186,0.062,12058.13,748.2,USD
2010-09-26,0.062,0.06228,0.0619,0.0622,10752.25,668.53,USD
2010-09-27,0.0622,0.06271,0.0617,0.0619,7086.15,439.05,USD
2010-09-28,0.0619,0.062,0.0615,0.06191,23475.64,1450.79,USD
2010-09-29,0.06191,0.0619,0.06155,0.0619,7917.03,488.15,USD
2010-09-30,0.0619,0.062,0.06189,0.06197,1717.45,106.46,USD
2010-10-01,0.06197,0.06191,0.06125,0.0614,13059.74,802.52,USD
2010-10-02,0.0614,0.0614,0.061,0.06111,7172.63,439.88,USD
2010-10-03,0.06111,0.062,0.06081,0.0613,33995.37,2079.89,USD
2010-10-04,0.0613,0.06301,0.0609,0.0614,27526.61,1699.2,USD
2010-10-05,0.0614,0.0635,0.0612,0.06281,33433.3,2091.28,USD
2010-10-06,0.06281,0.067,0.0628,0.067,43692.98,2812.79,USD
2010-10-07,0.067,0.088,0.01,0.08685,139287.29,10784.23,USD
2010-10-08,0.08685,0.12,0.068,0.0938,187846.95,16104.87,USD
2010-10-09,0.0938,0.1301,0.07999,0.0965,50684.19,4889.35,USD
2010-10-10,0.0965,0.103,0.091,0.095,14092.91,1395.23,USD
2010-10-11,0.095,0.099,0.082,0.0949,25660.75,2396.82,USD
2010-10-12,0.0949,0.105,0.092,0.105,47557.27,4558.52,USD
2010-10-13,0.105,0.1045,0.065,0.102,37217.28,3701.65,USD
2010-10-14,0.102,0.119,0.092,0.105,24643.33,2554.91,USD
2010-10-15,0.105,0.103,0.1,0.101,6284.71,633.63,USD
2010-10-16,0.101,0.1045,0.1,0.102,18222.19,1857.8,USD
2010-10-17,0.102,0.103,0.097,0.1024,25665.09,2591.64,USD
2010-10-18,0.1024,0.1019,0.097,0.097,6235.1,623.34,USD
2010-10-19,0.097,0.103,0.094,0.099,31855,3221.08,USD
2010-10-20,0.099,0.109,0.097,0.107,44867,4616.85,USD
2010-10-21,0.107,0.109,0.1015,0.1025,34603.91,3665.43,USD
2010-10-22,0.1025,0.109,0.1045,0.1055,4423.47,481.52,USD
2010-10-23,0.1055,0.19,0.108,0.115,13800.23,1560.61,USD
2010-10-24,0.115,0.19,0.09009,0.132,30299.64,4450,USD
2010-10-25,0.132,0.18,0.133,0.1503,19219.13,2995.09,USD
2010-10-26,0.1503,0.19,0.151,0.1877,65605.87,11594.02,USD
2010-10-27,0.1877,0.191,0.1731,0.1731,21525.04,4009.67,USD
2010-10-28,0.1731,0.19,0.173,0.19,28686.85,5380.49,USD
2010-10-29,0.19,0.199,0.1875,0.1989,26708.94,5112.03,USD
2010-10-30,0.1989,0.1989,0.171,0.1925,40337.76,7829.46,USD
2010-10-31,0.1925,0.1955,0.172,0.1955,21258.61,4049.75,USD
2010-11-01,0.1955,0.195,0.1905,0.1938,5853.39,1121.34,USD
2010-11-02,0.1938,0.275,0.125,0.1931,61472.63,11769.61,USD
2010-11-03,0.1931,0.236,0.1934,0.23,29698.43,6229.16,USD
2010-11-04,0.23,0.2639,0.2101,0.26,36622.07,8757.15,USD
2010-11-05,0.26,0.5,0.2402,0.39,32756.13,9396.96,USD
2010-11-06,0.39,0.47,0.286,0.34,77218.72,27937.74,USD
2010-11-07,0.34,0.37,0.2261,0.243,118203.83,38339.26,USD
2010-11-08,0.243,0.323,0.199,0.21,47983.39,12808.3,USD
2010-11-09,0.21,0.24,0.14,0.24,30387.03,6110.13,USD
2010-11-10,0.24,0.24,0.21,0.2231,5031.88,1111.55,USD
2010-11-11,0.2231,0.29,0.223,0.2682,40720.39,10494.46,USD
2010-11-12,0.2682,0.3,0.2683,0.276,21915.57,6351.58,USD
2010-11-13,0.276,0.299,0.2702,0.279,16844.33,4793.81,USD
2010-11-14,0.279,0.2828,0.2682,0.2682,8507.74,2337.5,USD
2010-11-15,0.2682,0.275,0.223,0.223,33931.01,8609.67,USD
2010-11-16,0.223,0.29,0.2116,0.2299,32871.6,8662.61,USD
2010-11-17,0.2299,0.283,0.2221,0.2678,37446.67,10253.27,USD
2010-11-18,0.2678,0.28,0.2682,0.28,2157.56,583.45,USD
2010-11-19,0.28,0.29,0.2682,0.283,14652.69,4119.07,USD
2010-11-20,0.283,0.282,0.2763,0.2767,765,212.67,USD
2010-11-21,0.2767,0.2879,0.269,0.2879,28205.85,7818.64,USD
2010-11-22,0.2879,0.2845,0.276,0.2829,4856.92,1361.82,USD
2010-11-23,0.2829,0.283,0.2761,0.283,2514.91,710.24,USD
2010-11-24,0.283,0.2825,0.278,0.28,1679.6,469.99,USD
2010-11-25,0.28,0.289,0.2761,0.2844,33531.88,9510.98,USD
2010-11-26,0.2844,0.2844,0.2826,0.283,1825.39,515.9,USD
2010-11-27,0.283,0.2846,0.27,0.27,20802.13,5746.3,USD
2010-11-28,0.27,0.279,0.2151,0.2299,35055.4,8802.06,USD
2010-11-29,0.2299,0.2299,0.204,0.2082,21476.25,4570.58,USD
2010-11-30,0.2082,0.2299,0.2095,0.2275,8157.89,1752.72,USD
2010-12-01,0.2275,0.2553,0.218,0.255,20312.23,4800.55,USD
2010-12-02,0.255,0.2552,0.243,0.251,2570.34,633.78,USD
2010-12-03,0.251,0.2589,0.205,0.205,28560.72,6673.4,USD
2010-12-04,0.205,0.235,0.19,0.19,5740.18,1178.03,USD
2010-12-05,0.19,0.225,0.1841,0.204,4319.26,863.02,USD
2010-12-06,0.204,0.2477,0.1701,0.233,24592.92,5411.8,USD
2010-12-07,0.233,0.24,0.22,0.2388,3430.41,789.86,USD
2010-12-08,0.2388,0.233,0.1701,0.2,21336.33,4411.94,USD
2010-12-09,0.2,0.204,0.1825,0.204,1684.25,328.17,USD
2010-12-10,0.204,0.228,0.1907,0.228,5788.69,1267.2,USD
2010-12-11,0.228,0.2279,0.2068,0.22,1963.56,418.8,USD
2010-12-12,0.22,0.23,0.21,0.2299,6415.59,1425.92,USD
2010-12-13,0.2299,0.2468,0.21,0.2467,10388.1,2403.83,USD
2010-12-14,0.2467,0.246,0.238,0.238,3684.68,901.15,USD
2010-12-15,0.238,0.255,0.2222,0.25,14355.33,3522.62,USD
2010-12-16,0.25,0.249,0.24,0.24,525.51,130.19,USD
2010-12-17,0.24,0.2488,0.241,0.241,169.11,41.67,USD
2010-12-18,0.241,0.2499,0.24,0.2401,2000.76,487.49,USD
2010-12-19,0.2401,0.275,0.24,0.267,10682.71,2769.88,USD
2010-12-20,0.267,0.267,0.24,0.24,9225.79,2291.81,USD
2010-12-21,0.24,0.25,0.244,0.25,3800.46,949.38,USD
2010-12-22,0.25,0.25,0.241,0.25,8650.15,2160.74,USD
2010-12-23,0.25,0.25,0.242,0.248,5033.25,1252.05,USD
2010-12-24,0.248,0.25,0.2475,0.2499,703,175.44,USD
2010-12-25,0.2499,0.27,0.2464,0.265,16584.97,4203.03,USD
2010-12-26,0.265,0.27,0.251,0.265,4935.49,1270.15,USD
2010-12-27,0.265,0.281,0.2612,0.281,15438.71,4238.98,USD
2010-12-28,0.281,0.301,0.271,0.3,18609.14,5363.75,USD
2010-12-29,0.3,0.3,0.291,0.3,2539.87,759.92,USD
2010-12-30,0.3,0.3,0.292,0.3,1453.72,428.44,USD
2010-12-31,0.3,0.3,0.292,0.3,2821.24,841.95,USD
2011-01-01,0.3,0.3,0.289,0.3,5352.11,1584.66,USD
2011-01-02,0.3,0.2999,0.29,0.295,1425.19,420.85,USD
2011-01-03,0.295,0.2999,0.289,0.2989,1879,548.33,USD
2011-01-04,0.2989,0.299,0.29,0.299,357.16,106.19,USD
2011-01-05,0.299,0.299,0.29,0.298,3456.49,1031.28,USD
2011-01-06,0.298,0.322,0.2975,0.32,42601.12,13152.15,USD
2011-01-07,0.32,0.3229,0.309,0.3229,1629.44,512.04,USD
2011-01-08,0.3229,0.323,0.3229,0.323,1691.37,546.18,USD
2011-01-09,0.323,0.329,0.3175,0.3266,10355.83,3360.65,USD
2011-01-10,0.3266,0.3266,0.3176,0.3266,4857.8,1578.66,USD
2011-01-11,0.3266,0.3557,0.318,0.3188,31359.77,10508.17,USD
2011-01-12,0.3188,0.405,0.3176,0.3176,20118.9,7147.03,USD
2011-01-13,0.3176,0.45,0.3176,0.4,27130.96,10691.11,USD
2011-01-14,0.4,0.4,0.385,0.386,1515.66,591.15,USD
2011-01-15,0.386,0.4,0.386,0.3868,2778.71,1085.16,USD
2011-01-16,0.3868,0.3868,0.315,0.3495,18241.15,6360.69,USD
2011-01-17,0.3495,0.3495,0.305,0.313,15671.51,4950.51,USD
2011-01-18,0.313,0.313,0.305,0.313,7291.63,2247.62,USD
2011-01-19,0.313,0.39,0.31,0.39,19881.98,6900.05,USD
2011-01-20,0.39,0.44,0.368,0.4199,8477.55,3351.62,USD
2011-01-21,0.4199,0.4443,0.39,0.4443,10534.27,4513.91,USD
2011-01-22,0.4443,0.4443,0.42,0.4424,1148.4,505.83,USD
2011-01-23,0.4424,0.4424,0.381,0.4199,11061.94,4516.68,USD
2011-01-24,0.4199,0.425,0.4,0.41,2163.72,901.25,USD
2011-01-25,0.41,0.42,0.3904,0.417,15564.81,6315.95,USD
2011-01-26,0.417,0.45,0.4085,0.4212,27708.2,12086.9,USD
2011-01-27,0.4212,0.446,0.4212,0.446,5324.5,2301.77,USD
2011-01-28,0.446,0.445,0.43,0.439,1448.38,643.63,USD
2011-01-29,0.439,0.48,0.445,0.4799,10383.59,4775.81,USD
2011-01-30,0.4799,0.95,0.47,0.52,63516.08,32708.4,USD
2011-01-31,0.52,0.85,0.5201,0.7,31562.12,23264.18,USD
2011-02-01,0.7,0.76,0.69,0.716,5627.48,4126.02,USD
2011-02-02,0.716,0.75,0.6501,0.69,8524.5,6064.12,USD
2011-02-03,0.69,0.88,0.67,0.811,42222.19,33965.74,USD
2011-02-04,0.811,0.92,0.8115,0.92,15786.81,13634.2,USD
2011-02-05,0.92,0.92,0.83,0.8997,8744.11,7608.77,USD
2011-02-06,0.8997,0.9,0.83,0.89,2264.28,1949.54,USD
2011-02-07,0.89,0.918,0.8617,0.918,7021.29,6306.77,USD
2011-02-08,0.918,1.09,0.82,1.09,49632.5,47455.01,USD
2011-02-09,1.09,1.1,0.8,0.9803,26559.64,25568.81,USD
2011-02-10,0.9803,1.09,0.9264,1.07,13299.18,13213.54,USD
2011-02-11,1.07,1.08,0.9906,1.08,4118.92,4353.79,USD
2011-02-12,1.08,1.08,1.02,1.05,3240.64,3398.3,USD
2011-02-13,1.05,1.08,1.03,1.07,7096.55,7532.41,USD
2011-02-14,1.07,1.09,1.03,1.05,8616.58,9085.5,USD
2011-02-15,1.05,1.05,1.02,1.05,7192.38,7465.03,USD
2011-02-16,1.05,1.05,1.02,1.04,4009.84,4184.96,USD
2011-02-17,1.04,1.04,0.7801,0.8989,36948.16,32719.75,USD
2011-02-18,0.8989,0.98,0.8376,0.949,3798.71,3454.72,USD
2011-02-19,0.949,0.949,0.83,0.85,9974.05,8503.38,USD
2011-02-20,0.85,0.8796,0.8313,0.8345,1700.12,1435.86,USD
2011-02-21,0.8345,0.95,0.8313,0.8702,12095.26,10650.29,USD
2011-02-22,0.8702,0.945,0.8681,0.9,6718.87,6057.77,USD
2011-02-23,0.9,1,0.9,0.9974,13418.69,12708.12,USD
2011-02-24,0.9974,0.9998,0.9111,0.9111,4461.06,4276.3,USD
2011-02-25,0.9111,0.97,0.9106,0.958,4744.41,4452.63,USD
2011-02-26,0.958,0.958,0.89,0.89,23268.75,21576.82,USD
2011-02-27,0.89,0.92,0.845,0.86,4651.67,4108.6,USD
2011-02-28,0.86,0.97,0.8502,0.9202,22569.78,21413.43,USD
2011-03-01,0.9202,0.94,0.9102,0.9399,2741.87,2533.96,USD
2011-03-02,0.9399,0.9399,0.91,0.9391,2746.67,2520.58,USD
2011-03-03,0.9391,0.9391,0.9001,0.901,2711.89,2469.56,USD
2011-03-04,0.901,0.9189,0.8111,0.9103,12570.59,11115.04,USD
2011-03-05,0.9103,0.9098,0.81,0.8999,12626.49,10775.11,USD
2011-03-06,0.8999,0.909,0.846,0.885,15271.27,13527.3,USD
2011-03-07,0.885,0.885,0.85,0.87,4527.85,3931.42,USD
2011-03-08,0.87,0.87,0.85,0.8645,4546.05,3881.22,USD
2011-03-09,0.8645,0.9329,0.8497,0.9329,8869.01,7895.07,USD
2011-03-10,0.9329,0.925,0.8601,0.88,3725.51,3301.73,USD
2011-03-11,0.88,0.9197,0.88,0.918,4822.83,4319.6,USD
2011-03-12,0.918,0.918,0.8898,0.8925,660.31,595.42,USD
2011-03-13,0.8925,0.9,0.88,0.8949,5269.24,4676.62,USD
2011-03-14,0.8949,0.8949,0.87,0.87,2732.16,2405.41,USD
2011-03-15,0.87,0.88,0.836,0.86,7929.62,6761.32,USD
2011-03-16,0.86,0.88,0.81,0.8254,7159.78,6042.77,USD
2011-03-17,0.8254,0.8506,0.71,0.8165,14226.22,10971.32,USD
2011-03-18,0.8165,0.797,0.7313,0.765,9875.04,7457.83,USD
2011-03-19,0.765,0.79,0.7402,0.7411,5815.32,4502.62,USD
2011-03-20,0.7411,0.7724,0.7405,0.759,3695.96,2780.45,USD
2011-03-21,0.759,0.81,0.7405,0.809,12147.72,9499.24,USD
2011-03-22,0.809,0.85,0.78,0.8497,13262.26,11029.25,USD
2011-03-23,0.8497,0.9,0.8266,0.8669,14009.37,12259.77,USD
2011-03-24,0.8669,0.89,0.861,0.8838,4819.42,4225.53,USD
2011-03-25,0.8838,0.905,0.841,0.8552,11756.42,10250.98,USD
2011-03-26,0.8552,0.8721,0.8152,0.82,5337.15,4439.07,USD
2011-03-27,0.82,0.85,0.76,0.799,12565.15,10141.7,USD
2011-03-28,0.799,0.7997,0.7648,0.7925,4215.02,3312.3,USD
2011-03-29,0.7925,0.795,0.766,0.7897,3218.22,2532.13,USD
